state,city,zip,Y,X,compid,id
IL,Mt. Vernon,62864,38.31764,-88.909298,2,441
IL,Morris,60450,41.364155,-88.421363,2,442
NV,Winnemucca,89445,41.12556,-117.78672,2,443
TX,Tyler,75706,32.46451,-95.27839,2,444
TX,Cotulla,78014,28.424112,-99.237016,2,445
ND,Grand Forks,58201,47.912435,-97.052752,2,446
NM,Carlsbad,88220,32.397966,-104.241065,2,447
VA,Harrisonburg,22802,38.508585,-78.940514,2,448
AR,Caddo Valley,71923,34.085898,-93.045684,2,449
SC,St. George,29477,33.185354,-80.581025,2,450
NY,Rotterdam,12306,42.792392,-73.984961,2,451
IA,Brooklyn,52211,41.729084,-92.44554,2,452
IA,Atalissa,57270,45.864739,-97.284259,2,453
AL,Lincoln,35096,33.593989,-86.132344,2,454
OK,Atoka,74525,34.385284,-96.13211,2,455
FL,Jasper,32052,30.517247,-82.950317,2,456
WV,Morgantown,26508,39.589081,-79.896108,2,457
OR,Klamath Falls,97601,42.221688,-121.796627,2,458
AZ,Yuma,85367,32.655369,-114.383585,2,459
OK,Enid,73701,36.405255,-97.874299,2,460
TX,Jarrell,76537,30.78888,-97.60602,2,461
UT,Perry,84302,41.53608,-112.0488,2,462
UT,Beaver,84713,38.298252,-112.716345,2,463
UT,Scipio,84656,39.252203,-112.101774,2,464
ND,Mandan,58554,46.828248,-100.892053,2,465
IL,Springfield,62715,39.803359,-89.646811,2,466
NV,Primm,89019,35.804011,-115.635842,2,467
IL,Lincoln,62656,40.153604,-89.369109,2,468
IL,Ottawa,61350,41.333611,-88.878056,2,469
PA,Breezewood,15533,39.987619,-78.243556,2,470
PA,Duncannon,17020,40.391761,-77.045102,2,471
PA,Myerstown,17067,40.377563,-76.31874,2,472
MS,Senatobia,38668,34.65318,-89.86986,2,473
IL,New Berlin,62670,39.734757,-89.908806,2,474
PA,Pine Grove,17963,40.54902,-76.40412,2,475
IL,Dixon,61021,41.838841,-89.492572,2,476
KS,Kansas City,66106,39.06252,-94.71774,2,477
IL,Springfield,62707,39.777482,-89.650787,2,478
IL,Champaign,61821,40.106564,-88.283856,2,479
WI,Cottage Grove,53527,43.070701,-89.198254,2,480
IL,Tuscola,61953,39.796141,-88.282209,2,481
IL,Mendota,61342,41.540805,-89.106262,2,482
IN,Brazil,47834,39.52512,-87.1692,2,483
IA,Elk Run Heights,50707,42.48288,-92.27706,2,484
MO,Fenton,63026,38.501758,-90.456792,2,485
IL,Okawville,62271,38.41812,-89.52462,2,486
IL,Rockford,61108,42.251933,-89.029605,2,487
IL,South Beloit,61080,42.47718,-88.97166,2,488
IL,Winnebago,61088,42.273946,-89.250627,2,489
WI,Oakdale,54660,43.9941,-90.45972,2,490
IL,Rochelle,61068,41.94822,-89.05536,2,491
IL,Loves Park,61111,42.3281,-89.026827,2,492
